crans,1.0960421163329624E7,322,5.172615288815343E7
montreal la cluse,1.0960421163329624E7,960,2.1422900685333107E7
cleyzieu,1.0960421163329624E7,927,1.746913546445948E7
lompnieu,1.0960421163329624E7,1241,1.3731559233447704E7
villereversure,1.0960421163329624E7,480,4.140738345428484E7
saint martin du mont,1.0960421163329624E7,556,3.350489851591495E7
saint genis pouilly,1.0960421163329624E7,502,4.180868708483325E7
bolozon,1.0960421163329624E7,673,3.0448863360511683E7
confrancon,1.0960421163329624E7,224,8.044966160104486E7
lochieu,1.0960421163329624E7,1426,1.1427408126274088E7
chanoz chatenay,1.0960421163329624E7,268,6.3988209381008565E7
villebois,1.0960421163329624E7,960,1.6105410108798638E7
ceignes,1.0960421163329624E7,862,2.2551747676658288E7
saint didier sur chalaronne,1.0960421163329624E7,223,6.5479034540483005E7
revonnas,1.0960421163329624E7,504,3.850557076360787E7
bourg saint christophe,1.0960421163329624E7,305,5.130113159198938E7
condeissiat,1.0960421163329624E7,268,6.541053098777924E7
pirajoux,1.0960421163329624E7,237,8.999099522892904E7
chalamont,1.0960421163329624E7,330,5.082809653590561E7
le plantay,1.0960421163329624E7,286,5.741365504048727E7
versailleux,1.0960421163329624E7,303,5.369923804372617E7
montagnat,1.0960421163329624E7,282,6.772370202723211E7
vieu,1.0960421163329624E7,540,2.926004472856835E7
saint andre de corcy,1.0960421163329624E7,306,4.8854840539837405E7
bressolles,1.0960421163329624E7,292,5.238901316437775E7
peronnas,1.0960421163329624E7,277,6.741954716693465E7
colomieu,1.0960421163329624E7,476,2.733321124498898E7
monthieux,1.0960421163329624E7,311,4.824652155266738E7
saint jean sur reyssouze,1.0960421163329624E7,218,8.622973970163865E7
garnerans,1.0960421163329624E7,215,6.92352406519767E7
montrevel en bresse,1.0960421163329624E7,220,8.730202766637428E7
conand,1.0960421163329624E7,1021,1.5587637700276494E7
challes la montagne,1.0960421163329624E7,700,2.793600757174527E7
mogneneins,1.0960421163329624E7,238,6.1055791388344534E7
thoissey,1.0960421163329624E7,178,8.084758099314785E7
chaleins,1.0960421163329624E7,267,5.300179933693506E7
neuville sur ain,1.0960421163329624E7,427,4.349290559506275E7
thil,1.0960421163329624E7,183,8.00722796340894E7
jujurieux,1.0960421163329624E7,633,2.852216260137732E7
oncieu,1.0960421163329624E7,807,2.098358575319051E7
lurcy,1.0960421163329624E7,233,5.944193154825258E7
balan,1.0960421163329624E7,233,6.442920666150301E7
ambutrix,1.0960421163329624E7,370,4.482614793231141E7
sainte croix,1.0960421163329624E7,294,5.215642602358655E7
blyes,1.0960421163329624E7,243,6.361568483556496E7
conzieu,1.0960421163329624E7,1020,1.283094637938846E7
nievroz,1.0960421163329624E7,197,7.57347052733757E7
nurieux volognat,1.0960421163329624E7,840,2.436504352749676E7
ambleon,1.0960421163329624E7,940,1.4241450776015481E7
saint maurice de gourdans,1.0960421163329624E7,244,6.160894834569094E7
chezery forens,1.0960421163329624E7,1692,1.23646728577639E7
sault brenaz,1.0960421163329624E7,660,2.3456971970552064E7
murs et gelignieux,1.0960421163329624E7,460,2.360321365714679E7
le petit abergement,1.0960421163329624E7,1177,1.5440049026443502E7
cormoz,1.0960421163329624E7,223,9.499957453990415E7
saint martin de bavel,1.0960421163329624E7,442,3.365560738749905E7
saint trivier de courtes,1.0960421163329624E7,218,8.890923590997194E7
boyeux saint jerome,1.0960421163329624E7,900,2.01875198568061E7
chateau gaillard,1.0960421163329624E7,253,6.6918074503492005E7
premeyzel,1.0960421163329624E7,750,1.5885469763257256E7
arandas,1.0960421163329624E7,939,1.723067104003801E7
chatenay,1.0960421163329624E7,317,5.444827053580251E7
innimond,1.0960421163329624E7,1218,1.1570727111520166E7
boz,1.0960421163329624E7,206,7.948160677201697E7
briord,1.0960421163329624E7,580,2.4827731585340273E7
reyrieux,1.0960421163329624E7,297,4.747616366100272E7
matafelon granges,1.0960421163329624E7,783,2.7707664623374723E7
drom,1.0960421163329624E7,505,3.993874754389077E7
chatillon en michaille,1.0960421163329624E7,1241,1.5872070188254492E7
polliat,1.0960421163329624E7,233,7.988522563675208E7
vesancy,1.0960421163329624E7,1490,1.4965910218990348E7
massieux,1.0960421163329624E7,284,4.9932703606180996E7
saint cyr sur menthon,1.0960421163329624E7,217,7.848636846634181E7
serrieres sur ain,1.0960421163329624E7,649,3.0412903331819303E7
nivollet montgriffon,1.0960421163329624E7,833,2.0911742277696267E7
izernore,1.0960421163329624E7,822,2.5444895581100743E7
saint nizier le desert,1.0960421163329624E7,323,5.3001016257397085E7
guereins,1.0960421163329624E7,232,6.0715890802021384E7
illiat,1.0960421163329624E7,257,6.018521711438014E7
