parves,168767.01600973902,300,0.0
pugieu,162193.9727169128,100,0.0
virieu le grand,164007.91024090163,1100,0.0
saint remy,133030.6778545782,800,0.0
rance,90727.03550218773,600,0.0
grieges,104560.97631299155,1800,0.0
grand corent,161062.72632365057,100,0.0
outriaz,165644.3514553043,300,0.0
montagnieu,142599.53539282718,500,0.0
champagne en valromey,170132.90520269956,700,0.0
amberieux en dombes,95927.01713940938,1600,0.0
la boisse,101261.43055803266,2900,0.0
parcieux,82927.02759859555,1100,0.0
saint didier d aussiat,129282.64147602707,800,0.0
saint nizier le bouchoux,145995.74502423013,700,0.0
ars sur formans,86566.91508007786,1300,0.0
anglefort,183800.14049644282,900,0.0
corlier,158724.2872737031,100,0.0
ferney voltaire,233533.86065571828,7800,1.7128137173636265E10
saint maurice de remens,132120.6843140589,700,0.0
chatillon la palud,129643.75883504612,1500,0.0
saint sulpice,127861.15446623243,100,0.0
saint bois,154144.88000299528,100,0.0
virignin,163554.7713903193,800,0.0
premillieu,156422.28582890116,0,0.0
genouilleux,90492.23170900995,600,0.0
reyssouze,121401.31951051297,900,0.0
collonges,204994.4595094875,1600,0.0
saint germain de joux,190718.36990431522,500,0.0
bregnier cordon,149729.4173249776,700,0.0
saint martin le chatel,133441.12030698993,800,0.0
marignieu,168086.0405026429,200,0.0
les neyrolles,177781.7866820481,700,0.0
sulignat,111818.00400148776,600,0.0
beny,153121.67496508118,700,0.0
injoux genissiat,188525.85297631347,1000,0.0
chanay,185794.02572514693,600,0.0
chatillon sur chalaronne,109077.14055468707,4900,9.167823752206253E9
farges,208525.5943632046,800,0.0
saint alban,157281.38358689548,200,0.0
curtafond,129144.33823693778,700,0.0
viriat,141770.50368354947,5700,7.053653432960444E9
belleydoux,197776.12457172826,300,0.0
bage le chatel,115755.30846681277,800,0.0
sainte olive,100220.47273142633,300,0.0
saint genis sur menthon,123290.86631480129,400,0.0
domsure,159403.72416882182,500,0.0
chavannes sur suran,163026.33679044247,700,0.0
priay,134852.51890605033,1400,0.0
